name,year,price,rating,oil,actuator,transmission,engine_capacity
Mitsubishi Lancer,2014,798800,8.8,бензин,передний,механика,1.6
Hyundai Solaris,2012,930000,8.8,бензин,передний,АКПП,1.6
Geely Monjaro,2023,4861990,,бензин,4W,АКПП,2.0
Geely Monjaro,2023,4864990,,бензин,4W,АКПП,2.0
Geely Monjaro,2023,4861990,,бензин,4W,АКПП,2.0
Daewoo Nexia,2012,165000,7.5,бензин,передний,механика,1.5
Geely Monjaro,2023,4964990,,бензин,4W,АКПП,2.0
Geely Monjaro,2023,4928000,,бензин,4W,АКПП,2.0
Geely Monjaro,2023,4928000,,бензин,4W,АКПП,2.0
Geely Monjaro,2023,4594000,,бензин,4W,АКПП,2.0
Geely Monjaro,2023,4594000,,бензин,4W,АКПП,2.0
Geely Monjaro,2023,4594000,,бензин,4W,АКПП,2.0
Geely Monjaro,2023,4594000,,бензин,4W,АКПП,2.0
Geely Tugella FY11,2023,4164900,,бензин,4W,АКПП,2.0
Geely Monjaro,2023,4928000,,бензин,4W,АКПП,2.0
Лада Ларгус Кросс,2019,1549000,8.3,бензин,передний,механика,1.6
Лада 2109,1992,110000,7.4,бензин,передний,механика,1.5
Nissan Leaf,2013,750000,9.2,электро,передний,АКПП,
Mercedes-Benz CLA-Class,2014,2110000,9.3,бензин,передний,робот,1.6
Volvo S60,2015,1830000,9.2,бензин,передний,АКПП,2.0
Lexus NX200,2016,2730000,9.2,бензин,4WD,вариатор,2.0
BMW 6-Series,2014,2780000,9.3,бензин,4WD,АКПП,3.0
MINI Countryman,2013,2100000,8.8,бензин,4WD,АКПП,1.6
Mercedes-Benz GLA-Class,2014,2490000,9.3,бензин,4WD,робот,2.0
Changan CS75 Plus,2023,2950000,,бензин,передний,АКПП,1.5
Changan CS75 Plus,2023,2950000,,бензин,передний,АКПП,1.5
Changan CS75 Plus,2023,2950000,,бензин,передний,АКПП,1.5
Changan CS75 Plus,2023,2950000,,бензин,передний,АКПП,1.5
Changan CS75 Plus,2023,2950000,,бензин,передний,АКПП,1.5
Changan CS75 Plus,2023,2950000,,бензин,передний,АКПП,1.5
Mitsubishi Outlander,2019,3500000,9.0,бензин,4WD,вариатор,2.0
Toyota Land Cruiser,2011,2684000,9.4,дизель,4WD,АКПП,4.5
BMW X5,2016,3499000,9.5,дизель,4WD,АКПП,3.0
GAC GS5,2023,2309000,,бензин,передни,АКПП,1.5
GAC GS5,2023,2559000,,бензин,передни,АКПП,1.5
GAC GS5,2023,2509000,,бензин,передни,АКПП,1.5
Peugeot 208,2013,974000,8.9,бензин,передний,АКПП,1.6
BMW X5,2020,9300000,9.5,дизель,4WD,АКПП,3.0
Toyota RAV4,2016,2349000,9.2,бензин,передний,вариатор,2.0
Porsche Taycan,2023,15900000,,автомат,211 к,4WD,
Skoda Superb,2013,1249000,9.2,бензин,передний,робот,1.8
BMW 4-Series,2018,4400000,9.0,дизель,4WD,АКПП,2.0
BMW X1,2017,2199000,9.2,бензин,передний,автомат,2.0
Toyota Succeed,2019,1740000,8.2,бензин,передний,вариатор,1.5
Ford Mondeo,2019,1830000,9.1,бензин,передний,автомат,1.5
Лада 2107,2010,85000,7.7,бензин,задний,механика,1.6
Kia Ceed,2021,2369000,9.2,бензин,передний,АКПП,1.6
Lexus NX200,2019,4100000,9.2,бензин,4WD,вариатор,2.0
Kia Soul,2012,1326000,8.7,бензин,передний,механика,1.6
Skoda Fabia,2008,635000,8.6,бензин,передний,АКПП,1.6
Skoda Yeti,2017,1695000,8.7,бензин,4WD,робот,1.8
Nissan Juke,2012,1340000,8.8,бензин,передний,вариатор,1.6
Skoda Superb,2013,969000,,бензин,передний,автомат,1.8
Ford EcoSport,2017,1350000,8.7,бензин,передний,автомат,1.6
Subaru Impreza,2007,600000,8.5,бензин,4WD,механика,1.5
Volkswagen Tiguan,2012,1375000,9.0,бензин,передний,робот,1.4
Citroen C-Crosser,2011,1070000,8.9,бензин,4WD,вариатор,2.4
Hyundai Solaris,2021,1730000,9.1,бензин,передний,АКПП,1.6
Chevrolet Cruze,2012,700000,8.5,бензин,передний,АКПП,1.6
Renault Megane,2006,419000,,бензин,передний,механика,1.6
Hyundai Creta,2017,1740000,9.1,бензин,передний,АКПП,1.6
Skoda Superb,2009,999000,9.2,дизель,передний,робот,2.0
Volkswagen Jetta,2008,680000,8.7,бензин,передний,механика,1.6
Renault Arkana,2022,2340000,8.8,бензин,передний,вариатор,1.6
Chevrolet Cruze,2013,750000,8.5,бензин,передний,механика,1.8
Ford Fusion,2007,540000,,бензин,передний,механика,1.6
BMW 5-Series,2004,1240000,9.2,бензин,задний,АКПП,3.0
Mercedes-Benz GLC,2016,3310000,9.2,бензин,4WD,АКПП,2.0
BMW 3-Series,2013,2345000,9.4,бензин,задний,АКПП,2.0
Opel Vectra,1999,135000,,бензин,передний,механика,1.6
Kia Telluride,2023,6560000,,бензин,4WD,автомат,3.8
Kia Telluride,2023,6560000,,бензин,4WD,автомат,3.8
Kia Telluride,2023,6560000,,бензин,4WD,автомат,3.8
Ford Focus,2007,260000,8.6,бензин,передний,механика,1.4
Skoda Octavia,2001,320000,8.4,бензин,передний,механика,1.6
Toyota Corolla,2005,550000,8.6,бензин,передний,механика,1.6
Suzuki Swift,2003,320000,8.1,бензин,передний,АКПП,1.3
Honda Accord,2007,740000,9.2,бензин,передний,АКПП,2.4
Mitsubishi L200,2014,1600000,8.4,дизель,4WD,АКПП,2.5
Mercedes-Benz GL-Class,2010,2100000,9.1,дизель,4WD,АКПП,3.0
Land Rover Discovery,2013,2000000,9.3,дизель,4WD,АКПП,3.0
Hyundai Santa Fe,2022,5780000,9.2,бензин,4WD,автомат,3.5
Subaru Outback,2011,1800000,9.1,бензин,4WD,вариатор,2.5
Datsun on-DO,2016,520000,8.3,бензин,передний,механика,1.6
Ford C-MAX,2007,599000,8.3,бензин,передний,АКПП,2.0
Лада 2115 Самара,2005,140000,7.7,бензин,передний,механика,1.5
Лада 2115 Самара,2005,140000,7.7,бензин,передний,механика,1.5
Ford Mondeo,2007,520000,9.0,бензин,передний,механика,2.0
Audi A3,2014,1249000,9.2,бензин,передний,робот,1.2
Toyota Vanguard,2008,500000,8.8,бензин,4WD,вариатор,2.4
Hyundai Solaris,2021,1939000,9.1,бензин,передний,АКПП,1.6
Lexus RX300,2018,4759000,9.4,бензин,4WD,АКПП,2.0
Mitsubishi Pajero,2011,2224000,8.9,дизель,4WD,АКПП,3.2
Kia K8,2022,5094000,,бензин,4WD,автомат,3.5
Opel Corsa,2012,890000,8.5,бензин,передний,АКПП,1.4
Ford Focus,2011,652000,8.6,бензин,передний,механика,1.4
Jeep Grand Cherokee,2014,2990000,9.4,бензин,4WD,АКПП,6.4
Haval F7x,2022,2610000,,бензин,передний,робот,1.5
BMW X4,2017,3890000,9.1,дизель,4WD,АКПП,3.0
Haval F7x,2021,2150000,,бензин,передний,робот,1.5
Hyundai Lantra,1996,125000,8.0,бензин,передний,механика,1.8
Mitsubishi Galant,2001,200000,8.5,бензин,передний,АКПП,2.4
Bentley Azure,2006,15200000,,бензин,задний,АКПП,6.8
Tank 500,2023,6359000,,бензин,4W,АКПП,3.0
Geely Monjaro,2023,4210000,,бензин,4WD,АКПП,2.0
Volkswagen Passat,2019,2300000,9.4,дизель,передний,робот,1.6
Лада Ларгус,2017,899999,8.4,бензин,передний,механика,1.6
Mitsubishi ASX,2014,1519000,8.7,бензин,передний,вариатор,1.8
Hyundai Accent,2003,115000,8.1,бензин,передний,механика,1.5
Audi A5,2022,6938000,,бензин,4W,автомат,2.0
Mercedes-Benz C-Class,2016,1850000,9.5,бензин,задний,АКПП,1.6
Honda CR-V,2023,6290000,,бензин,4W,вариатор,1.5
Kia Ceed,2010,850000,8.6,бензин,передний,механика,1.6
Haval Dargo,2023,3429000,,бензин,4W,робот,2.0
Li L9,2023,11443680,,гибрид,4W,автомат,
Li L9,2023,11657620,,гибрид,4W,автомат,
BMW X7,2023,19799000,9.4,бензин,4W,АКПП,3.0
BMW X6,2023,16100000,9.3,дизель,4W,АКПП,3.0
Nissan DAYZ,2018,950000,8.7,бензин,передний,автомат,0.7
Mazda CX-5,2016,1869000,,бензин,передний,АКПП,2.0
Land Rover Range Rover,2019,11900000,9.5,дизель,4WD,АКПП,3.0
Cadillac XT5,2017,3300000,,бензин,4WD,АКПП,3.6
Kia Cerato,2021,2490000,9.3,бензин,передний,АКПП,2.0
Лада Гранта,2021,949777,8.1,бензин,передний,механика,1.6
Mercedes-Benz GLC,2021,5500000,9.2,бензин,4WD,АКПП,2.0
Nissan Qashqai,2018,2050000,9.0,бензин,4WD,вариатор,2.0
Citroen C4,2021,1899777,8.8,бензин,передний,АКПП,1.6
Kia K5,2020,2300777,9.3,бензин,передний,АКПП,2.0
Lexus RX350,2013,2900000,9.4,бензин,4WD,АКПП,3.5
Mazda Mazda6,2009,980000,9.1,бензин,передний,механика,1.8
Renault Kaptur,2018,1990000,8.7,бензин,4WD,АКПП,2.0
Honda CR-V,2011,1685777,9.0,бензин,4WD,АКПП,2.4
Kia Rio X (X-Line),2021,2198400,9.1,бензин,передний,АКПП,1.6
Mitsubishi Outlander,2011,1299000,8.9,бензин,4WD,вариатор,2.0
Kia K5,2022,3199000,9.3,бензин,передний,АКПП,2.0
Лада Веста Кросс,2019,1249000,8.7,бензин,передний,механика,1.6
Volkswagen Polo,2020,1849000,9.0,бензин,передний,АКПП,1.6
Tank 500,2023,6299000,,бензин,4W,АКПП,3.0
Renault Megane,2013,990000,8.8,бензин,передний,механика,1.6
Land Rover Range Rover Sport,2021,9550000,9.4,дизель,4WD,АКПП,3.0
Skoda Rapid,2017,1399888,8.9,бензин,передний,АКПП,1.6
Changan UNI-K,2023,4790000,,бензин,4W,АКПП,2.0
Land Rover Defender,2022,13297000,,дизель,4W,АКПП,3.0
Vortex Tingo,2010,409000,8.0,бензин,передний,механика,1.8
Лада Гранта,2015,315000,8.1,бензин,передний,механика,
Jetour X90 Plus,2023,3669900,,бензин,передни,робот,2.0
Geely Atlas Pro,2023,3043990,,бензин,4W,автомат,1.5
Geely Atlas Pro,2023,3243990,,бензин,4W,автомат,1.5
Geely Atlas Pro,2023,3243990,,бензин,4W,автомат,1.5
Honda Freed,2019,1800000,9.4,бензин,передний,вариатор,1.5
Subaru Forester,2014,1789000,9.1,бензин,4WD,вариатор,2.0
Kia Sportage,2015,1349000,8.8,бензин,передний,АКПП,2.0
Nissan X-Trail,2011,1890000,8.7,бензин,4WD,вариатор,2.5
Mercedes-Benz M-Class,2014,3019000,9.4,дизель,4WD,АКПП,3.0
Toyota Corolla,2008,779000,9.0,бензин,передний,механика,1.6
Mazda CX-5,2018,3320000,9.4,бензин,4WD,АКПП,2.5
Lifan X50,2017,829000,8.9,бензин,передний,вариатор,1.5
Opel Corsa,2012,725000,8.5,бензин,передний,робот,1.2
Peugeot 508,2012,799000,8.8,бензин,передний,АКПП,1.6
Li L9,2023,11443680,,гибрид,4WD,автомат,
Li L9,2023,11657620,,гибрид,4WD,автомат,
BMW 5-Series,2019,2949000,9.6,дизель,задний,АКПП,2.0
Volkswagen Tiguan,2018,2848300,9.4,бензин,передний,робот,1.4
Audi Q8,2022,9990000,9.1,дизель,4WD,АКПП,3.0
Skoda Octavia,2013,958200,8.9,бензин,передний,механика,1.6
Kia Soul,2011,1149000,,бензин,передний,автомат,1.6
Skoda Kodiaq,2023,5700000,9.2,бензин,4WD,робот,2.0
Chevrolet Niva,2011,510000,7.6,бензин,4WD,механика,1.7
Ford Fiesta,2005,320000,,бензин,передний,механика,1.3
Hyundai Solaris,2011,790000,8.8,бензин,передний,АКПП,1.6
Ford Focus,2012,820000,8.9,бензин,передний,механика,
Geely Monjaro,2023,4861990,,бензин,4W,АКПП,2.0
Geely Monjaro,2023,4861990,,бензин,4W,АКПП,2.0
Geely Monjaro,2023,4594000,,бензин,4W,АКПП,2.0
Geely Monjaro,2023,4594000,,бензин,4W,АКПП,2.0
Geely Monjaro,2023,4928000,,бензин,4W,АКПП,2.0
Geely Monjaro,2023,4928000,,бензин,4W,АКПП,2.0
Porsche Cayenne,2005,679990,9.1,бензин,4WD,АКПП,3.2
Dodge Intrepid,2001,499900,,бензин,передний,автомат,2.7
Audi Q7,2009,2100000,,дизель,4WD,автомат,3.0
Changan UNI-K,2023,4640000,,бензин,4W,АКПП,2.0
Genesis G90,2022,17500000,,бензин,4W,автомат,3.5
Genesis G90,2022,17500000,,бензин,4W,автомат,3.5
Hyundai Solaris,2018,1318000,9.1,бензин,передний,АКПП,1.6
Ford Focus,2012,1029000,8.9,бензин,передний,робот,2.0
Chevrolet Cruze,2013,1099999,8.5,бензин,передний,АКПП,1.8
Chevrolet Orlando,2012,1699999,8.6,бензин,передний,АКПП,1.8
Skoda Fabia,2013,1047000,8.6,бензин,передний,робот,1.2
Hyundai ix35,2013,1599000,8.7,бензин,4WD,АКПП,2.0
Opel Antara,2013,1574000,8.6,дизель,4WD,АКПП,2.2
Geely Atlas,2019,1999000,9.1,бензин,передний,АКПП,1.8
Great Wall Hover H3,2011,669000,8.5,бензин,4WD,механика,2.0
Audi A5,2012,1749999,9.3,бензин,передний,вариатор,1.8
Kia Sportage,2009,840000,8.6,бензин,4WD,механика,2.0
Mazda Mazda6,2013,1643200,9.4,бензин,передний,АКПП,2.5
Volkswagen Tiguan,2020,4799000,9.4,бензин,4WD,робот,2.0
Mercedes-Benz CLA-Class,2019,3075000,9.2,дизель,передний,робот,2.0
Land Rover Discovery Sport,2018,3145000,9.1,дизель,4WD,АКПП,2.0
Volvo XC60,2013,2350000,9.3,дизель,4WD,АКПП,2.4
Audi A3,2019,2300000,9.2,бензин,передний,робот,1.4
Audi A3,2016,1764000,9.2,бензин,передний,робот,1.4
Audi Q5,2017,3550000,9.2,бензин,4WD,робот,2.0
Suzuki SX4,2020,2199000,,бензин,передний,автомат,1.6
Nissan Murano,2011,1299000,9.2,бензин,4WD,вариатор,3.5
Audi A5,2012,1950000,9.3,бензин,4WD,робот,2.0
Changan Lamore,2023,2789900,,бензин,передни,автомат,1.5
Changan Lamore,2023,2789900,,бензин,передни,автомат,1.5
Subaru Levorg,2015,1805000,9.1,бензин,4WD,вариатор,1.6
Mercedes-Benz GLA-Class,2018,2870000,9.3,бензин,4WD,робот,2.0
Skoda Yeti,2013,1029000,8.7,бензин,передний,робот,1.4
Volvo V40,2015,1667000,8.9,бензин,передний,АКПП,1.5
Suzuki Vitara,2020,2421000,8.7,бензин,4WD,АКПП,1.4
Kia Rio,2017,1173000,,бензин,передний,механика,1.6
Chevrolet Cobalt,2013,667000,8.4,бензин,передний,механика,1.5
BMW 3-Series,2014,1470000,9.4,бензин,задний,АКПП,1.6
Opel Antara,2014,1539000,8.6,дизель,4WD,АКПП,2.2
Kia Soul,2018,1949000,9.1,бензин,передний,АКПП,2.0
Jaguar E-Pace,2022,7897000,,бензин,4W,АКПП,2.0
Citroen C5,2006,499000,8.4,бензин,передний,АКПП,2.0
BMW 5-Series,1998,325000,8.9,бензин,задний,механика,2.5
Nissan Qashqai,2019,1639000,9.0,бензин,передний,вариатор,1.2
Opel Corsa,2007,339300,8.5,бензин,передний,механика,1.2
OMODA C5,2023,2670900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2670900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2670900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2670900,,бензин,передни,вариатор,1.5
BMW X1,2021,3918000,9.2,дизель,4WD,АКПП,2.0
OMODA C5,2023,2980900,,бензин,4W,робот,1.6
OMODA C5,2023,2980900,,бензин,4W,робот,1.6
OMODA C5,2023,2980900,,бензин,4W,робот,1.6
OMODA C5,2023,2980900,,бензин,4W,робот,1.6
OMODA C5,2023,2800900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2800900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2800900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2800900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2800900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2800900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2800900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2800900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2800900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2800900,,бензин,передни,вариатор,1.5
OMODA C5,2023,3140400,,бензин,4W,робот,1.6
OMODA C5,2023,3140400,,бензин,4W,робот,1.6
OMODA C5,2023,2980900,,бензин,4W,робот,1.6
OMODA C5,2023,3140400,,бензин,4W,робот,1.6
OMODA C5,2023,3309900,,бензин,4W,робот,1.6
OMODA C5,2023,3309900,,бензин,4W,робот,1.6
OMODA C5,2023,3140400,,бензин,4W,робот,1.6
OMODA C5,2023,3140400,,бензин,4W,робот,1.6
OMODA C5,2023,3140400,,бензин,4W,робот,1.6
OMODA C5,2023,3140400,,бензин,4W,робот,1.6
OMODA C5,2023,3140400,,бензин,4W,робот,1.6
OMODA C5,2023,3140400,,бензин,4W,робот,1.6
OMODA C5,2023,3140400,,бензин,4W,робот,1.6
Chery Tiggo 4 Pro,2023,2249900,,бензин,передни,механика,1.5
Chery Tiggo 4 Pro,2023,2249900,,бензин,передни,механика,1.5
Chery Tiggo 4 Pro,2023,2249900,,бензин,передни,механика,1.5
Chery Tiggo 4 Pro,2023,2249900,,бензин,передни,механика,1.5
Chery Tiggo 4 Pro,2023,2249900,,бензин,передни,механика,1.5
Chery Tiggo 4 Pro,2023,2249900,,бензин,передни,механика,1.5
Chery Tiggo 4 Pro,2023,2249900,,бензин,передни,механика,1.5
Kia Rio X (X-Line),2018,1400000,9.1,бензин,передний,АКПП,1.4
Chery Tiggo 4 Pro,2023,2249900,,бензин,передни,механика,1.5
Chery Tiggo 4 Pro,2023,2249900,,бензин,передни,механика,1.5
Chery Tiggo 4 Pro,2023,2249900,,бензин,передни,механика,1.5
Chery Tiggo 4 Pro,2023,2249900,,бензин,передни,механика,1.5
Chery Tiggo 4 Pro,2023,2249900,,бензин,передни,механика,1.5
Chery Tiggo 4 Pro,2023,2249900,,бензин,передни,механика,1.5
Chery Tiggo 4 Pro,2023,2249900,,бензин,передни,механика,1.5
Mazda Mazda6,2017,2020000,9.4,бензин,передний,АКПП,2.0
BMW 3-Series,2016,2399000,9.4,бензин,4WD,АКПП,2.0
Kia Sportage,2013,1589000,8.8,бензин,4WD,АКПП,2.0
Chery Tiggo 4 Pro,2023,2249900,,бензин,передни,механика,1.5
Mitsubishi Carisma,1998,230000,8.2,бензин,передний,АКПП,1.8
Kia Cerato,2021,2350000,9.3,бензин,передний,АКПП,2.0
Chery Tiggo 7 Pro,2022,2330000,,бензин,передний,вариатор,1.5
Nissan Tiida,2011,729000,8.6,бензин,передний,АКПП,1.6
Subaru Forester,2013,1575000,9.1,бензин,4WD,вариатор,2.5
Subaru Forester,2001,655000,8.5,бензин,4WD,АКПП,2.0
Haval F7,2023,2649000,9.2,бензин,передни,робот,1.5
Лада 2114 Самара,2005,55000,7.9,бензин,передний,механика,1.5
Haval F7,2023,2349000,9.2,бензин,передни,робот,1.5
Haval Dargo,2023,3399000,,бензин,4W,робот,2.0
Haval Jolion,2023,2599000,,бензин,4W,робот,1.5
Haval Dargo,2023,3549000,,бензин,4W,робот,2.0
Haval M6,2023,2299000,,бензин,передни,робот,1.5
Haval F7,2023,3249000,9.2,бензин,4W,робот,2.0
Haval F7,2023,3249000,9.2,бензин,4W,робот,2.0
Haval F7,2023,3249000,9.2,бензин,4W,робот,2.0
Haval M6,2023,2299000,,бензин,передни,робот,1.5
Haval Dargo,2023,3549000,,бензин,4W,робот,2.0
Haval Dargo,2023,3229000,,бензин,4W,робот,2.0
Haval Jolion,2023,2619000,,бензин,4W,робот,1.5
Haval M6,2023,2299000,,бензин,передни,робот,1.5
Haval M6,2023,2299000,,бензин,передни,робот,1.5
Haval M6,2023,2299000,,бензин,передни,робот,1.5
Haval M6,2023,2299000,,бензин,передни,робот,1.5
Haval Jolion,2023,2289000,,бензин,передни,робот,1.5
Skoda Superb,2010,850000,9.2,бензин,4WD,робот,3.6
BMW 7-Series,2019,7550000,9.3,дизель,4WD,АКПП,3.0
Лада 2114 Самара,2004,110000,7.9,бензин,передний,механика,1.5
Mercedes-Benz GLC,2020,6230000,9.2,бензин,4WD,робот,3.0
Ford Mondeo,2016,1540000,9.1,бензин,передний,АКПП,2.5
BMW X5,2020,8819000,9.5,дизель,4WD,АКПП,3.0
Audi A4,2019,3360000,9.3,дизель,4WD,робот,2.0
Chery Arrizo 8,2023,3659900,,бензин,передни,робот,1.6
Chery Arrizo 8,2023,3659900,,бензин,передни,робот,1.6
Chery Arrizo 8,2023,3659900,,бензин,передни,робот,1.6
Chery Arrizo 8,2023,3659900,,бензин,передни,робот,1.6
Chery Arrizo 8,2023,3659900,,бензин,передни,робот,1.6
Chery Arrizo 8,2023,3659900,,бензин,передни,робот,1.6
Chery Arrizo 8,2023,3659900,,бензин,передни,робот,1.6
Chery Arrizo 8,2023,3659900,,бензин,передни,робот,1.6
Chery Tiggo 8 Pro,2023,3829900,,бензин,передни,робот,1.6
Chery Tiggo 8 Pro,2023,3829900,,бензин,передни,робот,1.6
Chery Arrizo 8,2023,3659900,,бензин,передни,робот,1.6
Chery Arrizo 8,2023,3659900,,бензин,передни,робот,1.6
Chery Arrizo 8,2023,3659900,,бензин,передни,робот,1.6
Chery Arrizo 8,2023,3659900,,бензин,передни,робот,1.6
Chery Tiggo 8 Pro,2023,3829900,,бензин,передни,робот,1.6
Chery Tiggo 8 Pro,2023,3829900,,бензин,передни,робот,1.6
Chery Tiggo 8 Pro,2023,3709900,,бензин,передни,робот,1.6
Chery Tiggo 8 Pro,2023,3709900,,бензин,передни,робот,1.6
Chery Tiggo 8 Pro,2023,3709900,,бензин,передни,робот,1.6
Chery Tiggo 8 Pro,2023,3709900,,бензин,передни,робот,1.6
Chery Tiggo 8 Pro Max,2023,4450900,,бензин,4W,робот,2.0
Chery Tiggo 8 Pro Max,2023,4450900,,бензин,4W,робот,2.0
Chery Tiggo 8 Pro Max,2023,4450900,,бензин,4W,робот,2.0
Chery Tiggo 8 Pro Max,2023,4450900,,бензин,4W,робот,2.0
Chery Tiggo 8 Pro,2023,3709900,,бензин,передни,робот,1.6
Chery Tiggo 8 Pro,2023,3709900,,бензин,передни,робот,1.6
Chery Tiggo 8 Pro,2023,3709900,,бензин,передни,робот,1.6
Chery Tiggo 8 Pro,2023,3709900,,бензин,передни,робот,1.6
Chery Arrizo 8,2023,3559900,,бензин,передни,робот,1.6
Toyota Camry,2006,970000,9.1,бензин,передний,АКПП,2.4
Chery Arrizo 8,2023,3559900,,бензин,передни,робот,1.6
Chery Arrizo 8,2023,3659900,,бензин,передни,робот,1.6
Chery Arrizo 8,2023,3659900,,бензин,передни,робот,1.6
Chery Arrizo 8,2023,3659900,,бензин,передни,робот,1.6
Chery Arrizo 8,2023,3659900,,бензин,передни,робот,1.6
Chery Arrizo 8,2023,3559900,,бензин,передни,робот,1.6
Chery Arrizo 8,2023,3559900,,бензин,передни,робот,1.6
Volkswagen Polo,2017,1049000,8.7,механика,56 960 к,передний,1.6
Volkswagen Polo,2018,1189000,8.7,механика,81 533 к,передний,1.6
Chery Tiggo 4 Pro,2023,2479900,,бензин,передни,вариатор,1.5
Chery Tiggo 4 Pro,2023,2479900,,бензин,передни,вариатор,1.5
Chery Tiggo 4 Pro,2023,2479900,,бензин,передни,вариатор,1.5
Chery Arrizo 8,2023,3559900,,бензин,передни,робот,1.6
Chery Arrizo 8,2023,3559900,,бензин,передни,робот,1.6
Chery Arrizo 8,2023,3559900,,бензин,передни,робот,1.6
Chery Arrizo 8,2023,3559900,,бензин,передни,робот,1.6
Chery Tiggo 4 Pro,2023,2479900,,бензин,передни,вариатор,1.5
Chery Arrizo 8,2023,3559900,,бензин,передни,робот,1.6
Chery Arrizo 8,2023,3559900,,бензин,передни,робот,1.6
Chery Arrizo 8,2023,3559900,,бензин,передни,робот,1.6
Chery Tiggo 4 Pro,2023,2479900,,бензин,передни,вариатор,1.5
Chery Tiggo 4 Pro,2023,2479900,,бензин,передни,вариатор,1.5
Chery Arrizo 8,2023,3559900,,бензин,передни,робот,1.6
Chery Tiggo 4 Pro,2023,2479900,,бензин,передни,вариатор,1.5
Chery Tiggo 4 Pro,2023,2479900,,бензин,передни,вариатор,1.5
Лада Ларгус Кросс,2021,1599000,8.3,бензин,передний,механика,1.6
Chery Arrizo 8,2023,3559900,,бензин,передни,робот,1.6
Toyota Avensis,2007,769000,8.9,бензин,передний,АКПП,2.0
Chery Arrizo 8,2023,3559900,,бензин,передни,робот,1.6
Chery Arrizo 8,2023,3559900,,бензин,передни,робот,1.6
Chery Arrizo 8,2023,3559900,,бензин,передни,робот,1.6
Kia Rio X (X-Line),2018,1549000,,бензин,передний,АКПП,
Chery Arrizo 8,2023,3559900,,бензин,передни,робот,
Chery Arrizo 8,2023,3559900,,бензин,передни,робот,1.6
Chery Arrizo 8,2023,3559900,,бензин,передни,робот,1.6
Chery Arrizo 8,2023,3559900,,бензин,передни,робот,
Mercedes-Benz GL-Class,2014,3275000,,бензин,4WD,АКПП,
Chery Tiggo 4 Pro,2023,2539900,,бензин,передни,вариатор,
Kia Sportage,2020,2459000,9.1,бензин,4WD,АКПП,2.0
Chery Tiggo 4 Pro,2023,2539900,,бензин,передни,вариатор,1.5
Chery Tiggo 4 Pro,2023,2539900,,бензин,передни,вариатор,
Chery Tiggo 4 Pro,2023,2539900,,бензин,передни,вариатор,1.5
Skoda Yeti,2017,1589000,8.7,бензин,передний,робот,1.4
Chery Tiggo 8 Pro Max,2023,4459900,,бензин,4W,робот,2.0
Chery Tiggo 8 Pro Max,2023,4459900,,бензин,4W,робот,
Chery Tiggo 8 Pro Max,2023,4459900,,бензин,4W,робот,2.0
Chery Tiggo 8 Pro Max,2023,4459900,,бензин,4W,робот,2.0
Renault Duster,2013,889000,,бензин,передний,АКПП,
Renault Scenic,2010,813000,,дизель,передний,механика,1.5
Chery Tiggo 8 Pro Max,2023,4459900,,бензин,4W,робот,
Chery Tiggo 8 Pro Max,2023,4459900,,бензин,4W,робот,
Chery Tiggo 8 Pro Max,2023,4459900,,бензин,4W,робот,2.0
Chery Tiggo 8 Pro Max,2023,4459900,,бензин,4W,робот,
Chery Tiggo 8 Pro Max,2023,4459900,,бензин,4W,робот,
Chery Tiggo 8 Pro Max,2023,4459900,,бензин,4W,робот,
Chery Tiggo 8 Pro Max,2023,4459900,,бензин,4W,робот,2.0
Chery Tiggo 8 Pro Max,2023,4459900,,бензин,4W,робот,2.0
Chery Tiggo 8 Pro Max,2023,4459900,,бензин,4W,робот,2.0
Volkswagen Touareg,2018,4445000,9.5,дизель,4WD,АКПП,3.0
Chery Tiggo 8 Pro Max,2023,4459900,,бензин,4W,робот,2.0
Chery Tiggo 8 Pro Max,2023,4459900,,бензин,4W,робот,
Chery Tiggo 8 Pro Max,2023,4459900,,бензин,4W,робот,
Volkswagen Tiguan,2021,2990000,9.4,бензин,передний,робот,1.4
Chery Tiggo 8 Pro Max,2023,4450900,,бензин,4W,робот,2.0
Toyota RAV4,2013,1670000,,бензин,4WD,механика,
Chery Tiggo 8 Pro Max,2023,4450900,,бензин,4W,робот,
Chery Tiggo 8 Pro Max,2023,4450900,,бензин,4W,робот,2.0
Porsche Panamera,2019,12650000,,бензин,4WD,робот,4.0
Renault Duster,2019,1800000,8.4,дизель,4WD,механика,1.5
Volkswagen Passat CC,2011,899000,9.2,бензин,передний,механика,1.8
Renault Kaptur,2017,1590000,,бензин,передний,вариатор,
Chery Tiggo 8 Pro Max,2023,4450900,,бензин,4W,робот,
Kia Rio,2018,1229000,9.1,бензин,передний,механика,1.6
